User,RecommendFundCode
0,6849
0,488
0,6481
0,6818
0,7209
0,6889
0,6899
0,6720
0,7040
0,6810
0,519334
0,6383
0,6699
0,7166
0,6601
0,6429
0,6835
0,4960
0,6350
0,6014
0,7387
0,6826
0,6781
0,6908
0,7020
0,7386
0,6976
0,3532
0,6490
0,6793
0,6682
0,7193
0,2063
0,7023
0,6907
0,7036
0,6941
0,6549
0,7404
0,6528
0,5350
0,5855
0,6944
0,7021
0,6254
0,6931
0,6745
0,6777
0,7197
0,6879
0,6257
0,7046
0,6928
0,6314
0,6500
0,6939
0,6600
0,6734
0,7044
0,4954
0,6721
0,6915
0,6636
0,6936
0,6167
0,6957
0,6933
0,6794
0,6834
0,6735
0,7235
0,6672
0,7001
0,6364
0,6780
0,7101
0,4632
0,6768
0,6965
0,6351
0,7208
0,7111
0,6714
0,6632
0,6155
0,6168
0,4736
0,6865
0,6522
0,6870
0,6595
0,6692
0,6837
0,7085
0,6489
0,6626
0,7191
0,161913
0,6523
0,7176
0,6631
0,7072
0,7097
0,6850
0,7293
0,6919
0,7309
0,4955
0,6693
0,6604
0,7210
0,6746
0,6392
0,6948
0,7435
0,6156
0,5856
0,7073
0,6501
0,7047
0,6384
0,6698
0,6982
0,6712
0,7038
0,7413
0,7078
0,6822
0,6051
0,6615
0,6884
0,6839
0,6271
0,6755
0,6874
0,7446
0,7522
0,6914
0,6451
0,6574
0,7022
0,7048
0,6709
0,7057
0,7058
0,6935
0,6917
0,5497
0,6316
0,7198
0,6356
0,6813
0,7199
0,6556
0,6858
0,7147
0,6402
0,6281
0,7079
0,6610
0,5513
0,5514
0,7095
0,7405
0,501063
0,6816
0,6250
0,6786
0,6897
0,6452
0,1900
0,6345
0,6785
0,6401
0,6774
0,7063
0,7148
0,6913
0,7521
0,7358
0,7039
0,7049
0,6749
0,6509
0,6573
0,6902
0,6803
0,7397
0,7146
0,7010
0,6352
0,6787
0,6315
0,6052
0,7165
0,6637
0,5914
0,6013
0,6726
0,7302
0,519335
0,6603
0,6710
0,6969
0,6934
0,7448
0,6658
0,6202
0,5970
0,7200
0,7328
0,6557
0,6783
0,6815
0,7041
0,3275
0,7294
0,6819
0,6852
0,6840
0,166025
0,6643
0,6857
0,6929
0,6841
0,7292
0,6817
0,7169
0,7042
0,7088
0,6228
0,3297
0,7385
0,6868
0,6896
0,6776
0,7271
0,6527
0,6784
0,7427
0,7094
0,6644
0,6613
0,6510
0,7045
0,6796
0,6938
0,6867
0,6809
0,7233
0,6916
0,501069
0,7359
0,6270
0,6994
0,6349
0,7089
0,6650
0,6791
0,6985
0,6751
0,6912
0,6947
0,6887
0,6153
0,7006
0,7326
0,6990
0,6122
0,6544
0,7130
0,7188
0,7017
0,6526
0,6924
0,6930
0,7155
0,6766
0,6825
0,6890
0,6974
0,6856
0,6799
0,7026
0,6773
0,6848
0,6911
0,7031
0,6449
0,6616
0,6750
0,6764
0,6431
0,6207
0,7373
0,6881
0,6937
0,161912
0,6760
0,7273
0,501311
0,6477
0,6798
0,7099
0,7098
0,7027
0,6
0,6666
0,6700
0,4117
0,6624
0,6871
0,6804
0,6961
0,6805
0,2756
0,7035
0,6121
0,6814
0,7100
0,6800
0,6925
0,3823
0,6833
0,6998
0,6594
0,6973
0,6790
0,7007
0,6923
0,501064
0,6999
0,6975
0,6989
0,6952
0,6006
0,6962
0,6855
0,6832
0,7019
0,6218
0,6535
0,7034
0,6827
0,7030
0,1523
0,6432
0,6358
0,6199
0,7259
0,160925
0,6943
0,6901
0,6536
0,3822
0,6854
0,6789
0,5680
0,6670
0,6005
0,6921
0,6359
0,6701
0,1385
0,3292
0,121005
0,843
0,1376
0,110
0,1547
0,2583
0,4917
0,6593
0,6824
0,3276
0,6797
0,6992
0,6955
0,6942
0,7215
0,6875
0,6208
0,6605
0,6665
0,6627
0,6765
0,6365
0,6736
0,7075
0,7024
0,6713
0,5029
0,6885
0,6391
0,6179
0,7000
0,2757
0,6533
0,6614
0,7084
0,6357
0,6229
0,6983
0,7043
0,6152
0,6893
0,6823
0,6851
0,7011
0,6673
0,3696
0,7495
