User,RecommendFundCode
9730,7259
9731,7259
9736,7259
9732,7259
9738,7259
9753,7259
9833,7259
9749,7259
9839,7259
9834,7259
9885,2756
9896,2756
10051,2756
10050,2756
10064,2756
10075,2756
10052,2756
10056,2756
10065,2756
10067,2756
9731,6856
9732,6856
9736,6856
9748,6856
9734,6856
9756,6856
9766,6856
9782,6856
9753,6856
9770,6856
7938,7155
7942,7155
8015,7155
7955,7155
9126,7155
9107,7155
9240,7155
9113,7155
9141,7155
9226,7155
665,7188
1024,7188
936,7188
1290,7188
1813,7188
996,7188
9739,7188
8510,7188
9927,7188
9752,7188
9381,7326
9667,7326
9769,7326
9758,7326
9903,7326
10027,7326
9815,7326
9882,7326
9969,7326
9999,7326
5639,3276
5641,3276
5649,3276
5642,3276
5652,3276
5700,3276
5698,3276
5686,3276
5644,3276
5738,3276
9757,6911
9765,6911
9764,6911
9821,6911
9779,6911
9825,6911
9853,6911
9845,6911
9823,6911
9843,6911
9864,4117
9898,4117
10032,4117
9953,4117
9923,4117
10051,4117
10052,4117
10056,4117
10050,4117
10047,4117
7099,7098
7105,7098
7115,7098
7107,7098
7194,7098
7314,7098
7304,7098
7301,7098
7109,7098
7362,7098
9381,7273
9552,7273
9758,7273
9667,7273
9588,7273
9903,7273
9882,7273
9769,7273
9815,7273
9680,7273
6652,7373
7314,7373
7326,7373
8356,7373
8564,7373
9669,7373
7500,7373
9664,7373
8408,7373
9671,7373
2970,6616
2971,6616
2972,6616
2974,6616
2997,6616
3026,6616
3025,6616
9752,6616
9711,6616
9739,6616
6252,6659
6302,6659
6279,6659
6331,6659
6303,6659
6525,6659
6546,6659
6545,6659
6408,6659
6529,6659
847,6992
972,6992
1619,6992
1601,6992
1603,6992
2067,6992
2163,6992
1618,6992
1652,6992
1621,6992
6666,7024
7770,7024
8886,7024
7775,7024
8884,7024
9671,7024
9696,7024
8861,7024
9090,7024
9177,7024
7099,2757
7105,2757
7115,2757
7107,2757
7109,2757
7198,2757
7301,2757
7314,2757
7124,2757
7194,2757
1871,7192
3783,7192
3724,7192
3807,7192
3814,7192
3823,7192
3725,7192
3812,7192
4248,7192
4254,7192
7099,7495
7105,7495
7107,7495
7115,7495
7124,7495
7194,7495
7198,7495
7201,7495
7301,7495
7314,7495
2067,5029
2297,5029
2347,5029
2346,5029
2428,5029
2514,5029
2538,5029
2559,5029
2431,5029
2619,5029
654,7084
663,7084
842,7084
666,7084
833,7084
1073,7084
1070,7084
824,7084
907,7084
968,7084
7194,7215
7770,7215
7776,7215
7878,7215
7775,7215
9177,7215
9200,7215
9380,7215
9671,7215
9090,7215
7745,6791
7747,6791
7771,6791
7768,6791
7769,6791
7820,6791
7827,6791
7840,6791
7778,6791
7781,6791
531,6595
539,6595
552,6595
936,6595
556,6595
3913,6595
555,6595
1290,6595
3916,6595
1306,6595
6592,4736
6594,4736
7326,4736
7201,4736
7194,4736
7770,4736
7993,4736
7360,4736
7362,4736
7314,4736
7605,7208
7610,7208
7611,7208
7626,7208
7623,7208
8623,7208
7638,7208
8631,7208
9640,7208
8636,7208
1290,7101
1299,7101
1302,7101
1304,7101
5096,7101
5223,7101
5173,7101
5226,7101
5231,7101
8510,7101
5639,7235
5641,7235
5652,7235
5642,7235
5644,7235
5700,7235
5738,7235
5686,7235
5649,7235
5698,7235
9765,6957
9779,6957
9825,6957
9821,6957
9843,6957
9891,6957
9853,6957
9845,6957
9823,6957
9935,6957
9765,7413
9769,7413
9821,7413
9827,7413
9823,7413
9837,7413
9831,7413
9869,7413
9846,7413
9843,7413
3466,7047
3810,7047
3615,7047
3815,7047
3909,7047
3772,7047
3949,7047
3915,7047
5018,7047
4445,7047
8015,7435
8130,7435
8112,7435
8148,7435
9240,7435
9107,7435
8151,7435
9226,7435
9880,7435
9899,7435
7770,7210
7775,7210
8125,7210
8177,7210
9090,7210
8861,7210
8923,7210
9380,7210
8356,7210
9394,7210
9381,7293
9667,7293
9552,7293
9758,7293
9680,7293
9882,7293
9969,7293
9903,7293
9931,7293
9769,7293
5639,7176
5641,7176
5647,7176
5642,7176
5649,7176
5674,7176
5670,7176
5652,7176
5644,7176
5698,7176
7194,6636
7770,6636
7775,6636
7787,6636
7779,6636
9090,6636
7993,6636
9165,6636
9671,6636
9243,6636
9765,7386
9823,7386
9821,7386
9825,7386
9831,7386
9869,7386
9837,7386
9827,7386
9841,7386
9843,7386
3547,7387
3613,7387
3601,7387
3618,7387
4265,7387
4272,7387
8863,7387
3629,7387
7484,7387
8436,7387
3466,6429
3490,6429
4143,6429
4218,6429
4234,6429
4198,6429
4265,6429
4264,6429
4224,6429
4865,6429
9731,519334
9732,519334
9744,519334
9736,519334
9734,519334
9884,519334
9889,519334
9880,519334
9740,519334
9745,519334
7099,7209
7105,7209
7109,7209
7115,7209
7107,7209
7301,7209
7304,7209
7314,7209
7362,7209
7194,7209
1449,7193
1643,7193
1640,7193
1871,7193
2081,7193
2038,7193
2053,7193
3724,7193
2373,7193
3766,7193
6252,7044
6303,7044
6302,7044
6525,7044
6408,7044
6540,7044
6551,7044
6546,7044
6529,7044
6545,7044
2703,6314
2729,6314
2972,6314
2968,6314
2970,6314
3026,6314
3025,6314
2974,6314
2971,6314
2997,6314
9847,7197
9857,7197
9885,7197
9896,7197
9861,7197
9953,7197
9923,7197
9958,7197
10014,7197
9919,7197
9828,7021
9833,7021
9832,7021
10032,7021
10050,7021
10034,7021
10047,7021
10052,7021
10051,7021
10056,7021
6252,7404
6302,7404
6279,7404
6338,7404
6303,7404
6525,7404
6546,7404
6545,7404
6408,7404
6529,7404
9786,7078
9828,7078
9833,7078
9832,7078
9834,7078
9840,7078
9847,7078
9839,7078
9857,7078
9854,7078
3691,166025
3942,166025
3702,166025
4435,166025
4546,166025
3841,166025
5056,166025
4633,166025
5108,166025
5099,166025
9381,7294
9758,7294
9769,7294
9868,7294
9872,7294
9931,7294
9815,7294
9969,7294
9882,7294
9903,7294
7099,7328
7105,7328
7115,7328
7107,7328
7124,7328
7201,7328
7198,7328
7194,7328
7314,7328
7301,7328
7974,7448
7999,7448
9726,7448
8017,7448
9723,7448
9747,7448
9757,7448
8146,7448
9733,7448
9741,7448
7099,519335
7107,519335
7105,519335
7115,519335
7314,519335
7301,519335
7194,519335
7360,519335
7326,519335
7362,519335
7099,6637
7105,6637
7109,6637
7115,6637
7107,6637
7198,6637
7199,6637
7301,6637
7314,6637
7194,6637
9731,7292
9732,7292
9736,7292
9748,7292
9738,7292
9753,7292
9756,7292
9828,7292
9818,7292
9810,7292
1787,7233
1805,7233
1949,7233
1863,7233
1987,7233
2105,7233
1965,7233
2038,7233
1992,7233
2059,7233
