User,RecommendFundCode
0,2807.0
0,3499.0
0,6286.0
0,50023.0
0,582202.0
0,3452.0
0,162299.0
0,320.0
0,4655.0
0,6149.0
1,161010.0
1,217019.0
1,3891.0
1,2438.0
1,3040.0
1,90017.0
1,1087.0
1,4919.0
1,2928.0
1,3177.0
2,3777.0
2,6546.0
2,519729.0
2,6237.0
2,4572.0
2,3038.0
2,519654.0
2,2766.0
2,162715.0
2,519943.0
3,5704.0
3,1019.0
3,277.0
3,2806.0
3,346.0
3,6695.0
3,470011.0
3,50006.0
3,161126.0
3,270045.0
4,4628.0
4,93.0
4,100053.0
4,6331.0
4,6494.0
4,3274.0
4,5093.0
4,69.0
4,675111.0
4,2073.0
5,2400.0
5,6297.0
5,530014.0
5,6748.0
5,2442.0
5,5246.0
5,3274.0
5,162716.0
5,2970.0
5,4661.0
6,3209.0
6,4464.0
6,3440.0
6,5998.0
6,2377.0
6,519112.0
6,4637.0
6,5543.0
6,519024.0
6,141.0
7,519943.0
7,3110.0
7,3605.0
7,1512.0
7,6559.0
7,197.0
7,40010.0
7,3488.0
7,4626.0
7,6309.0
8,5048.0
8,2807.0
8,1237.0
8,6410.0
8,4052.0
8,519189.0
8,5631.0
8,4804.0
8,5862.0
8,5667.0
9,3265.0
9,4030.0
9,1136.0
9,6598.0
9,3038.0
9,400009.0
9,92.0
9,5654.0
9,50020.0
9,291007.0
10,5909.0
10,6411.0
10,5221.0
10,3014.0
10,3574.0
10,202015.0
10,2128.0
10,1969.0
10,3168.0
10,6558.0
11,6444.0
11,2442.0
11,3270.0
11,4319.0
11,1993.0
11,6732.0
11,5272.0
11,3741.0
11,28.0
11,164703.0
12,3371.0
12,3455.0
12,875.0
12,400016.0
12,613.0
12,6677.0
12,6319.0
12,3226.0
12,6094.0
12,4572.0
13,5390.0
13,4827.0
13,3879.0
13,6107.0
13,3499.0
13,320.0
13,4052.0
13,2807.0
13,530014.0
13,6286.0
14,5846.0
14,217022.0
14,40046.0
14,69.0
14,104.0
14,3452.0
14,6011.0
14,2988.0
14,6552.0
14,6470.0
15,4486.0
15,3455.0
15,3777.0
15,2354.0
15,6057.0
15,5024.0
15,624.0
15,163007.0
15,710302.0
15,5617.0
16,889.0
16,519131.0
16,3827.0
16,6546.0
16,3455.0
16,6599.0
16,876.0
16,4907.0
16,530029.0
16,163208.0
17,6761.0
17,6436.0
17,6361.0
17,3987.0
17,253021.0
17,6387.0
17,485019.0
17,53.0
17,6519.0
17,70026.0
18,4827.0
18,40028.0
18,720.0
18,2066.0
18,396.0
18,2344.0
18,2218.0
18,3605.0
18,951.0
18,161221.0
19,87.0
19,152.0
19,5675.0
19,6286.0
19,160612.0
19,2230.0
19,530008.0
19,668.0
19,710302.0
19,809.0
20,6411.0
20,2066.0
20,6725.0
20,5272.0
20,675093.0
20,1993.0
20,3767.0
20,180025.0
20,148.0
20,519787.0
21,519654.0
21,3777.0
21,3056.0
21,3108.0
21,6513.0
21,400009.0
21,5212.0
21,690202.0
21,3765.0
21,6571.0
22,1750.0
22,3923.0
22,352.0
22,6300.0
22,6491.0
22,4464.0
22,160523.0
22,361.0
22,2965.0
22,519943.0
23,4628.0
23,6322.0
23,163819.0
23,519763.0
23,630009.0
23,3498.0
23,5594.0
23,1993.0
23,4564.0
23,70001.0
24,4656.0
24,40018.0
24,6417.0
24,530014.0
24,2592.0
24,290009.0
24,2807.0
24,3168.0
24,400027.0
24,470018.0
25,463.0
25,6164.0
25,153.0
25,720.0
25,6074.0
25,2066.0
25,6044.0
25,3987.0
25,1976.0
25,261101.0
26,3605.0
26,5390.0
26,519706.0
26,174.0
26,519943.0
26,202103.0
26,4882.0
26,5667.0
26,1200.0
26,1976.0
27,5529.0
27,160125.0
27,3056.0
27,6145.0
27,470018.0
27,6417.0
27,6149.0
27,3378.0
27,4642.0
27,6438.0
28,5390.0
28,470888.0
28,3723.0
28,5667.0
28,6427.0
28,960042.0
28,3923.0
28,3869.0
28,100050.0
28,254.0
29,5645.0
29,715.0
29,3605.0
29,5008.0
29,5734.0
29,539002.0
29,6677.0
29,694.0
29,6300.0
29,180025.0
30,46.0
30,5704.0
30,5072.0
30,2403.0
30,3455.0
30,3863.0
30,6389.0
30,5611.0
30,4027.0
30,2723.0
31,2766.0
31,152.0
31,6513.0
31,2656.0
31,160140.0
31,4220.0
31,1013.0
31,5156.0
31,6491.0
31,6546.0
32,6677.0
32,270010.0
32,582202.0
32,3236.0
32,531030.0
32,6089.0
32,5645.0
32,40009.0
32,360009.0
32,206004.0
33,6192.0
33,6761.0
33,4124.0
33,217008.0
33,40009.0
33,2637.0
33,519226.0
33,254.0
33,380010.0
33,6460.0
34,6191.0
34,4089.0
34,3173.0
34,15.0
34,118002.0
34,46.0
34,6016.0
34,163825.0
34,3349.0
34,5047.0
35,6677.0
35,270010.0
35,46.0
35,582202.0
35,3454.0
35,161618.0
35,6164.0
35,6120.0
35,3728.0
35,6141.0
36,100050.0
36,163007.0
36,470888.0
36,6213.0
36,40028.0
36,2864.0
36,3181.0
36,4839.0
36,161618.0
36,110007.0
37,3847.0
37,5704.0
37,710302.0
37,6057.0
37,3265.0
37,162719.0
37,784.0
37,3777.0
37,6221.0
37,1941.0
38,270045.0
38,1200.0
38,161019.0
38,181.0
38,6546.0
38,5338.0
38,110021.0
38,6482.0
38,163811.0
38,519328.0
39,5712.0
39,5582.0
39,6552.0
39,485.0
39,334.0
39,2963.0
39,5677.0
39,3167.0
39,5880.0
39,5849.0
40,46.0
40,180025.0
40,6389.0
40,5667.0
40,610103.0
40,510080.0
40,3274.0
40,3648.0
40,4027.0
40,162716.0
41,4090.0
41,400029.0
41,163819.0
41,6732.0
41,519023.0
41,519622.0
41,675013.0
41,2442.0
41,257020.0
41,6042.0
42,6213.0
42,530029.0
42,40028.0
42,4907.0
42,3265.0
42,2336.0
42,630107.0
42,3747.0
42,5431.0
42,50123.0
43,160618.0
43,610103.0
43,2865.0
43,161824.0
43,2637.0
43,519785.0
43,1214.0
43,3668.0
43,2336.0
43,6145.0
44,6677.0
