FundCode,类型,近1月收益,近1年收益,近3年收益,风险等级,基金规模
7259,-0.4199170616105659,-0.7581748733668124,,,1.059280157767305,12.669521323336562
2756,-0.4199170616105659,-0.7647609036272133,0.5101791299851425,0.8994516499728538,,1.5806476877017006
6856,-0.4199170616105659,-0.7010959444433392,,,,0.6464610902252739
7155,-0.4199170616105659,-0.771346933887614,,,,0.16624719320789724
7188,1.4152760224652403,1.0793275692849986,,,,-0.35595261830280206
7326,1.4152760224652403,-0.5496172484541219,,,,-0.3310234815723918
3276,-0.4199170616105659,-0.6835331970822706,-0.5331085290855978,,,-0.3618568875284256
6911,-1.337513603648469,1.7730560900472114,,,-1.1507288044810284,-0.35464055847488574
4117,-0.4199170616105659,-0.7406121260057439,-0.25986652313849906,,,0.9639795685810257
7098,-0.4199170616105659,-0.7735422773077475,,,,-0.36251291744238373
7273,1.4152760224652403,-0.718658691804408,,,,-0.35660864821676025
7373,-0.4199170616105659,-0.7954957115090834,,,,-0.23130693465075075
6616,1.4152760224652403,2.4162917121463523,,,-0.04572432335686167,-0.20309764835054964
6659,-1.337513603648469,0.47121744190799547,,,-1.1507288044810284,-0.3526724687330112
6992,1.4152760224652403,0.6117194207965448,,,-0.04572432335686167,-0.34939231916322044
7024,-0.4199170616105659,-0.7625655602070796,,,,-0.29690992604656724
2757,-0.4199170616105659,-0.771346933887614,0.4315185525155232,0.6812414863699717,,-0.36316894735634186
7192,1.4152760224652403,0.20997157491209878,,,,-0.36316894735634186
7495,-0.4199170616105659,-0.7559795299466789,,,1.059280157767305,-0.36316894735634186
5029,1.4152760224652403,0.6183054510569455,,,-0.04572432335686167,-0.22540266542512724
7084,1.4152760224652403,0.383403705102652,,,-0.04572432335686167,-0.25558004146720287
7215,-0.4199170616105659,-0.7559795299466789,,,,-0.3106865542396887
6791,-0.4199170616105659,-0.7559795299466789,,,1.059280157767305,-0.065331366419335
6595,1.4152760224652403,1.0749368824447312,,,-0.04572432335686167,-0.22146648594137824
4736,-0.4199170616105659,-0.7076819747037401,0.5888397074547614,,,-0.25886019103699365
7208,-0.4199170616105659,-0.7669562470473469,,,1.059280157767305,0.03176106084647337
7101,1.4152760224652403,1.114453064007136,,,-0.04572432335686167,-0.3290553918305173
7235,-0.4199170616105659,-0.6703611365614691,,,-2.2557332856051953,-0.35923276787259295
6957,-1.337513603648469,1.770860746627078,,,-1.1507288044810284,-0.35792070804467657
7413,-1.337513603648469,1.522786940151983,,,-1.1507288044810284,-0.36251291744238373
7047,1.4152760224652403,0.20997157491209878,,,-0.04572432335686167,0.8642630216593847
7435,-0.4199170616105659,-0.7362214391654766,,,,0.2948290563436975
7210,-0.4199170616105659,-0.760370216786946,,,1.059280157767305,-0.27591696879990596
7293,1.4152760224652403,-0.6879238839225377,,,,-0.3618568875284256
7176,-0.4199170616105659,-0.7274400654849422,,,1.059280157767305,-0.3598887977865511
6636,-0.4199170616105659,-0.7735422773077475,,,1.059280157767305,-0.3244631824328102
7386,-1.337513603648469,1.4810754151694445,,,-1.1507288044810284,-0.36316894735634186
7387,1.4152760224652403,-0.3695990880031679,,,-0.04572432335686167,-0.34676819950738774
6429,1.4152760224652403,0.05410219208261416,,,-0.04572432335686167,0.5421523339059258
519334,-0.4199170616105659,-0.7493934996862781,-0.9264114164336943,,,0.6326844620321525
7209,-0.4199170616105659,-0.771346933887614,,,1.059280157767305,-0.36316894735634186
7193,1.4152760224652403,0.15947867624902623,,,,-0.36316894735634186
7044,-1.337513603648469,0.7522213996850944,,,-1.1507288044810284,-0.23261899447866705
6314,1.4152760224652403,1.58206121249559,,,-0.04572432335686167,-0.15651952445951994
7197,-0.4199170616105659,-0.7779329641480148,,,,2.995704212109463
7021,-0.4199170616105659,-0.7559795299466789,,,1.059280157767305,1.295930705043857
7404,-1.337513603648469,0.6841657536609531,,,-1.1507288044810284,-0.35726467813071844
7078,-0.4199170616105659,-0.7757376207278812,,,1.059280157767305,2.438734815158981
166025,1.4152760224652403,1.125429781107804,,,-0.04572432335686167,1.75252752515874
7294,1.4152760224652403,-0.6879238839225377,,,,-0.22212251585533643
7328,-0.4199170616105659,-0.7625655602070796,,,,-0.36316894735634186
7448,-1.337513603648469,0.8795513180528424,,,,-0.36316894735634186
519335,-0.4199170616105659,-0.7471981562661445,-1.0588923890141058,,,-0.36316894735634186
6637,-0.4199170616105659,-0.7823236509882819,,,1.059280157767305,-0.36316894735634186
7292,-0.4199170616105659,-0.7493934996862781,,,,0.9495469104739462
7233,1.4152760224652403,-0.26202726041662217,,,,-0.17292027230847407
7045,-1.337513603648469,0.74344002600456,,,-1.1507288044810284,-0.2529559218113702
7094,-0.4199170616105659,-0.7823236509882819,,,1.059280157767305,0.19970471881976362
6896,-0.4199170616105659,-0.19836230123274817,,,-2.2557332856051953,-0.30543831492802337
7088,-0.4199170616105659,-0.7735422773077475,,,,-0.23393105430658342
6315,1.4152760224652403,1.500833505950647,,,-0.04572432335686167,-0.33955187045384794
7147,-0.4199170616105659,-0.7559795299466789,,,1.059280157767305,-0.16439188342701794
7198,-0.4199170616105659,-0.7801283075681483,,,,-0.36316894735634186
7079,-0.4199170616105659,-0.7779329641480148,,,1.059280157767305,-0.3618568875284256
7022,-0.4199170616105659,-0.7559795299466789,,,1.059280157767305,-0.36316894735634186
7446,-0.4199170616105659,-0.760370216786946,,,-2.2557332856051953,-0.36251291744238373
7057,-0.4199170616105659,-0.7537841865265453,,,1.059280157767305,0.12360524880061649
7146,1.4152760224652403,0.39218507878318626,,,-0.04572432335686167,0.48770185104739805
